area_name,year,analysis
Bhundiya,2025,Predicted growth class: low. Estimated built-up: 8.8%. | Projected built-up change since 2024: +0.6 pp (base: 8.2%). | Growth class unchanged from baseline: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya,2026,Predicted growth class: low. Estimated built-up: 9.4%. | Projected built-up change since 2024: +1.2 pp (base: 8.2%). | Growth class unchanged from 2025: low. | 2-year cumulative built-up gain: +1.2 pp from 2024 base.
Bhundiya,2027,Predicted growth class: low. Estimated built-up: 10.0%. | Projected built-up change since 2024: +1.8 pp (base: 8.2%). | Growth class unchanged from 2026: low. | 3-year cumulative built-up gain: +1.8 pp from 2024 base.
Bhundiya,2028,Predicted growth class: low. Estimated built-up: 10.6%. | Projected built-up change since 2024: +2.4 pp (base: 8.2%). | Growth class unchanged from 2027: low. | 4-year cumulative built-up gain: +2.4 pp from 2024 base.
Bhundiya,2029,Predicted growth class: low. Estimated built-up: 11.2%. | Projected built-up change since 2024: +3.0 pp (base: 8.2%). | Growth class unchanged from 2028: low. | 5-year cumulative built-up gain: +3.0 pp from 2024 base.
Bhundiya,2030,Predicted growth class: low. Estimated built-up: 11.8%. | Projected built-up change since 2024: +3.6 pp (base: 8.2%). | Growth class unchanged from 2029: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya,2031,Predicted growth class: low. Estimated built-up: 12.4%. | Projected built-up change since 2024: +4.2 pp (base: 8.2%). | Growth class unchanged from 2030: low. | 7-year cumulative built-up gain: +4.2 pp from 2024 base.
Bhundiya,2032,Predicted growth class: low. Estimated built-up: 13.0%. | Projected built-up change since 2024: +4.8 pp (base: 8.2%). | Growth class unchanged from 2031: low. | 8-year cumulative built-up gain: +4.8 pp from 2024 base.
Bhundiya,2033,Predicted growth class: low. Estimated built-up: 13.6%. | Projected built-up change since 2024: +5.4 pp (base: 8.2%). | Growth class unchanged from 2032: low. | 9-year cumulative built-up gain: +5.4 pp from 2024 base.
Bhundiya,2034,Predicted growth class: low. Estimated built-up: 14.2%. | Projected built-up change since 2024: +6.0 pp (base: 8.2%). | Growth class unchanged from 2033: low. | 10-year cumulative built-up gain: +6.0 pp from 2024 base.
Bhundiya,2035,Predicted growth class: low. Estimated built-up: 14.8%. | Projected built-up change since 2024: +6.6 pp (base: 8.2%). | Growth class unchanged from 2034: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya,2036,Predicted growth class: low. Estimated built-up: 15.4%. | Projected built-up change since 2024: +7.2 pp (base: 8.2%). | Growth class unchanged from 2035: low. | 12-year cumulative built-up gain: +7.2 pp from 2024 base.
Bhundiya,2037,Predicted growth class: low. Estimated built-up: 16.0%. | Projected built-up change since 2024: +7.8 pp (base: 8.2%). | Growth class unchanged from 2036: low. | 13-year cumulative built-up gain: +7.8 pp from 2024 base.
Bhundiya,2038,Predicted growth class: low. Estimated built-up: 16.6%. | Projected built-up change since 2024: +8.4 pp (base: 8.2%). | Growth class unchanged from 2037: low. | 14-year cumulative built-up gain: +8.4 pp from 2024 base.
Bhundiya,2039,Predicted growth class: low. Estimated built-up: 17.2%. | Projected built-up change since 2024: +9.0 pp (base: 8.2%). | Growth class unchanged from 2038: low. | 15-year cumulative built-up gain: +9.0 pp from 2024 base.
Bhundiya,2040,Predicted growth class: low. Estimated built-up: 17.8%. | Projected built-up change since 2024: +9.6 pp (base: 8.2%). | Growth class unchanged from 2039: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya Fringe,2025,Predicted growth class: low. Estimated built-up: 8.4%. | Projected built-up change since 2024: +0.6 pp (base: 7.8%). | Growth class unchanged from baseline: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya Fringe,2026,Predicted growth class: low. Estimated built-up: 9.0%. | Projected built-up change since 2024: +1.2 pp (base: 7.8%). | Growth class unchanged from 2025: low. | 2-year cumulative built-up gain: +1.2 pp from 2024 base.
Bhundiya Fringe,2027,Predicted growth class: low. Estimated built-up: 9.6%. | Projected built-up change since 2024: +1.8 pp (base: 7.8%). | Growth class unchanged from 2026: low. | 3-year cumulative built-up gain: +1.8 pp from 2024 base.
Bhundiya Fringe,2028,Predicted growth class: low. Estimated built-up: 10.2%. | Projected built-up change since 2024: +2.4 pp (base: 7.8%). | Growth class unchanged from 2027: low. | 4-year cumulative built-up gain: +2.4 pp from 2024 base.
Bhundiya Fringe,2029,Predicted growth class: low. Estimated built-up: 10.8%. | Projected built-up change since 2024: +3.0 pp (base: 7.8%). | Growth class unchanged from 2028: low. | 5-year cumulative built-up gain: +3.0 pp from 2024 base.
Bhundiya Fringe,2030,Predicted growth class: low. Estimated built-up: 11.4%. | Projected built-up change since 2024: +3.6 pp (base: 7.8%). | Growth class unchanged from 2029: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya Fringe,2031,Predicted growth class: low. Estimated built-up: 12.0%. | Projected built-up change since 2024: +4.2 pp (base: 7.8%). | Growth class unchanged from 2030: low. | 7-year cumulative built-up gain: +4.2 pp from 2024 base.
Bhundiya Fringe,2032,Predicted growth class: low. Estimated built-up: 12.6%. | Projected built-up change since 2024: +4.8 pp (base: 7.8%). | Growth class unchanged from 2031: low. | 8-year cumulative built-up gain: +4.8 pp from 2024 base.
Bhundiya Fringe,2033,Predicted growth class: low. Estimated built-up: 13.2%. | Projected built-up change since 2024: +5.4 pp (base: 7.8%). | Growth class unchanged from 2032: low. | 9-year cumulative built-up gain: +5.4 pp from 2024 base.
Bhundiya Fringe,2034,Predicted growth class: low. Estimated built-up: 13.8%. | Projected built-up change since 2024: +6.0 pp (base: 7.8%). | Growth class unchanged from 2033: low. | 10-year cumulative built-up gain: +6.0 pp from 2024 base.
Bhundiya Fringe,2035,Predicted growth class: low. Estimated built-up: 14.4%. | Projected built-up change since 2024: +6.6 pp (base: 7.8%). | Growth class unchanged from 2034: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Bhundiya Fringe,2036,Predicted growth class: low. Estimated built-up: 15.0%. | Projected built-up change since 2024: +7.2 pp (base: 7.8%). | Growth class unchanged from 2035: low. | 12-year cumulative built-up gain: +7.2 pp from 2024 base.
Bhundiya Fringe,2037,Predicted growth class: low. Estimated built-up: 15.6%. | Projected built-up change since 2024: +7.8 pp (base: 7.8%). | Growth class unchanged from 2036: low. | 13-year cumulative built-up gain: +7.8 pp from 2024 base.
Bhundiya Fringe,2038,Predicted growth class: low. Estimated built-up: 16.2%. | Projected built-up change since 2024: +8.4 pp (base: 7.8%). | Growth class unchanged from 2037: low. | 14-year cumulative built-up gain: +8.4 pp from 2024 base.
Bhundiya Fringe,2039,Predicted growth class: low. Estimated built-up: 16.8%. | Projected built-up change since 2024: +9.0 pp (base: 7.8%). | Growth class unchanged from 2038: low. | 15-year cumulative built-up gain: +9.0 pp from 2024 base.
